,sessionStepId,session.sessionId,steps.stepId,steps.filePath,steps.stepCategory,steps.prompt,start_time_groundtruth,end_time_groundtruth,session.sessionScriptId,steps.name,steps.sequenceNumber,steps.elicitType,session.language,sessionId,stepId,RatePhonationStepMaxVoicedDuration,RatePhonationStepMaxVoicedDurationNoAmbient,RatePhonationStepPauseCount,RatePhonationStepPauseCountNoAmbient,RatePhonationStepPauseMean,RatePhonationStepPauseMeanNoAmbient,RatePhonationStepPausePercent,RatePhonationStepPausePercentNoAmbient,RatePhonationStepSpeechEndTime,RatePhonationStepSpeechEndTimeNoAmbient,RatePhonationStepSpeechStartTime,RatePhonationStepSpeechStartTimeNoAmbient,RatePhonationStepSpeechTotalDuration,RatePhonationStepSpeechTotalDurationNoAmbient,RatePhonationStepTotalVoicedDuration,RatePhonationStepTotalVoicedDurationNoAmbient,RateSentenceStepArticulationSpeed,RateSentenceStepArticulationSpeedNoAmbient,RateSentenceStepMaxVoicedDuration,RateSentenceStepMaxVoicedDurationNoAmbient,RateSentenceStepPauseCount,RateSentenceStepPauseCountNoAmbient,RateSentenceStepPauseMean,RateSentenceStepPauseMeanNoAmbient,RateSentenceStepPausePercent,RateSentenceStepPausePercentNoAmbient,RateSentenceStepSpeechEndTime,RateSentenceStepSpeechEndTimeNoAmbient,RateSentenceStepSpeechSpeed,RateSentenceStepSpeechSpeedNoAmbient,RateSentenceStepSpeechStartTime,RateSentenceStepSpeechStartTimeNoAmbient,RateSentenceStepTotalSpeechDuration,RateSentenceStepTotalSpeechDurationNoAmbient,RateSentenceStepTotalVoicedDuration,RateSentenceStepTotalVoicedDurationNoAmbient,asr_engine_aws,asr_start_time_aws,asr_end_time_aws,transcript_aws,asr_engine_google,asr_start_time_google,asr_end_time_google,transcript_google
10,1026-20171017-0739-7,1026-20171017-0739,7,/home/prad/datasets/phonation_data/1026-20171017-0739-7.wav,phonation,"Say ""aaah""",0.30446,20.05122,vad_analysis,7,7,speech,en-us,1026-20171017-0739,7.0,19.74,19.59,0.0,0.0,0.0,0.0,0.0,0.0,20.0174375,19.95,0.2774374999999996,0.36,19.74,19.59,19.74,19.59,,,19.74,18.285,0.0,1.0,0.0,0.7800000000000011,0.0,0.0423197492163008,20.0174375,19.545,,,0.2774374999999996,0.405,19.74,19.14,19.74,18.33,aws,0.14,20.27,Oh!,google,,,
11,1032-20170906-0954-7,1032-20170906-0954,7,/home/prad/datasets/phonation_data/1032-20170906-0954-7.wav,phonation,"Say ""aaah""",0.53851,29.88369,vad_analysis,7,7,speech,en-us,1032-20170906-0954,7.0,29.25,29.31,0.0,0.0,0.0,0.0,0.0,0.0,29.780625,29.85,0.5306249999999997,0.54,29.25,29.31,29.25,29.31,,,29.25,10.77,0.0,9.0,0.0,0.4833333333333335,0.0,0.1732283464566929,29.780625,27.21,,,0.5306249999999997,0.54,29.25,26.67,29.25,22.05,aws,0.44,29.89,"Oh, oh!",google,,,
12,1043-20180131-0657-7,1043-20180131-0657,7,/home/prad/datasets/phonation_data/1043-20180131-0657-7.wav,phonation,"Say ""aaah""",0.0,29.94,vad_analysis,7,7,speech,en-us,1043-20180131-0657,7.0,29.835000000000004,25.68,0.0,1.0,0.0,0.3449999999999989,0.0,0.0125439036628198,29.844812500000003,29.91,0.0098124999999997,0.015,29.835000000000004,29.895,29.835000000000004,29.52,,,29.835000000000004,13.11,0.0,7.0,0.0,1.9585714285714284,0.0,0.473953013278856,29.844812500000003,29.475,,,0.0098124999999997,0.105,29.835000000000004,29.37,29.835000000000004,15.45,aws,0.0,28.95,Uh huh. Oh.,google,,,
13,1037-20170830-0942-7,1037-20170830-0942,7,/home/prad/datasets/phonation_data/1037-20170830-0942-7.wav,phonation,"Say ""aaah""",0.1268099999999999,22.92267,vad_analysis,7,7,speech,en-us,1037-20170830-0942,7.0,22.815,22.065,0.0,1.0,0.0,0.3599999999999994,0.0,0.0172185430463576,22.915875,22.8,0.1008749999999998,0.15,22.815,22.65,22.815,22.26,,,22.815,15.75,0.0,4.0,0.0,1.0762500000000008,0.0,0.1949768671513551,22.915875,22.815,,,0.1008749999999998,0.12,22.815,22.695,22.815,18.27,aws,0.0,23.05,"couple. You know that. Uh huh. Oh, come on alone. Uh huh.",google,,,
14,1011-20170602-1047-7,1011-20170602-1047,7,/home/prad/datasets/phonation_data/1011-20170602-1047-7.wav,phonation,"Say ""aaah""",0.38838,28.29059,vad_analysis,7,7,speech,en-us,1011-20170602-1047,7.0,27.91500000000001,27.84,0.0,0.0,0.0,0.0,0.0,0.0,28.2568125,28.23,0.3418125000000001,0.39,27.91500000000001,27.84,27.91500000000001,27.84,,,27.91500000000001,7.545000000000003,0.0,7.0,0.0,1.8750000000000004,0.0,0.4808004326663061,28.2568125,28.125,,,0.3418125000000001,0.39,27.91500000000001,27.735,27.91500000000001,14.400000000000002,aws,0.14,7.92,Ah Oh.,google,,,
15,1014-20170613-2256-7,1014-20170613-2256,7,/home/prad/datasets/phonation_data/1014-20170613-2256-7.wav,phonation,"Say ""aaah""",0.75778,14.93048,vad_analysis,7,7,speech,en-us,1014-20170613-2256,7.0,14.145,14.13,0.0,0.0,0.0,0.0,0.0,0.0,14.88025,14.88,0.7352500000000006,0.75,14.145,14.13,14.145,14.13,,,14.16,10.365,0.0,3.0,0.0,0.4550000000000007,0.0,0.103411513859275,14.88025,14.835,,,0.7202500000000001,0.765,14.16,14.07,14.16,12.615,aws,1.14,12.67,"the Mandan? Many, but, um no, no. And then, um n meaning?",google,,,
16,1024-20170711-2258-7,1024-20170711-2258,7,/home/prad/datasets/phonation_data/1024-20170711-2258-7.wav,phonation,"Say ""aaah""",0.89848,13.74046,vad_analysis,7,7,speech,en-us,1024-20170711-2258,7.0,12.84,12.78,0.0,0.0,0.0,0.0,0.0,0.0,13.7305,13.68,0.8904999999999994,0.9,12.84,12.78,12.84,12.78,,,12.84,12.15,0.0,1.0,0.0,0.4499999999999993,0.0,0.0376470588235294,13.7305,13.68,,,0.8904999999999994,0.93,12.84,12.75,12.84,12.27,aws,1.74,29.97,00!,google,,,
17,1062-20180116-1016-7,1062-20180116-1016,7,/home/prad/datasets/phonation_data/1062-20180116-1016-7.wav,phonation,"Say ""aaah""",0.09881,17.432010000000002,vad_analysis,7,7,speech,en-us,1062-20180116-1016,7.0,17.325000000000006,17.28,0.0,0.0,0.0,0.0,0.0,0.0,17.400750000000002,17.37,0.0757500000000002,0.09,17.325000000000006,17.28,17.325000000000006,17.28,,,17.340000000000003,13.83,0.0,1.0,0.0,0.6150000000000002,0.0,0.0407582938388625,17.415750000000006,15.915,,,0.0757500000000002,0.09,17.340000000000003,15.825,17.340000000000003,15.18,aws,0.04,14.89,Uh 00,google,,,
18,1023-20170805-1528-7,1023-20170805-1528,7,/home/prad/datasets/phonation_data/1023-20170805-1528-7.wav,phonation,"Say ""aaah""",0.36334,29.860440000000004,vad_analysis,7,7,speech,en-us,1023-20170805-1528,7.0,29.415,20.94,0.0,1.0,0.0,0.2099999999999973,0.0,0.0081466395112015,29.7545625,29.82,0.3395625000000004,0.36,29.415,29.46,29.415,29.22,,,29.415,6.75,0.0,5.0,0.0,2.8589999999999995,0.0,0.4900763358778626,29.7545625,29.82,,,0.3395625000000004,0.345,29.415,29.475,29.415,15.03,aws,1.14,17.65,00!,google,,,
19,1008-20170711-1201-7,1008-20170711-1201,7,/home/prad/datasets/phonation_data/1008-20170711-1201-7.wav,phonation,"Say ""aaah""",0.65913,8.45463,vad_analysis,7,7,speech,en-us,1008-20170711-1201,7.0,7.83,7.56,0.0,0.0,0.0,0.0,0.0,0.0,8.4114375,8.22,0.5814374999999998,0.66,7.83,7.56,7.83,7.56,,,7.83,7.605,0.0,0.0,0.0,0.0,0.0,0.0,8.4114375,8.25,,,0.5814374999999998,0.645,7.83,7.605,7.83,7.605,aws,1.24,6.16,Standards Committee met this afternoon. Open meeting.,google,,,
20,1053-20171231-1014-7,1053-20171231-1014,7,/home/prad/datasets/phonation_data/1053-20171231-1014-7.wav,phonation,"Say ""aaah""",0.25309,16.54247,vad_analysis,7,7,speech,en-us,1053-20171231-1014,7.0,16.29,16.125,0.0,0.0,0.0,0.0,0.0,0.0,16.5226875,16.425,0.2326875,0.3,16.29,16.125,16.29,16.125,,,16.29,15.93,0.0,0.0,0.0,0.0,0.0,0.0,16.5226875,16.26,,,0.2326875,0.33,16.29,15.93,16.29,15.93,aws,0.14,16.67,Oh!,google,,,
21,1017-20170922-1237-7,1017-20170922-1237,7,/home/prad/datasets/phonation_data/1017-20170922-1237-7.wav,phonation,"Say ""aaah""",0.9889,17.90687,vad_analysis,7,7,speech,en-us,1017-20170922-1237,7.0,17.4,16.845000000000002,1.0,1.0,1.995000000000001,2.099999999999998,0.0998520710059172,0.1079847908745246,20.7755,20.715,0.4954999999999998,0.99,20.28,19.725,18.255,17.595000000000006,,,17.669999999999995,10.32,1.0,3.0,1.995000000000001,2.105,0.0985401459854015,0.3249619482496194,20.7755,20.7,,,0.2254999999999998,0.99,20.55,19.71,18.525,13.305,aws,1.14,25.45,a Yeah.,google,,,
22,1028-20170901-1114-7,1028-20170901-1114,7,/home/prad/datasets/phonation_data/1028-20170901-1114-7.wav,phonation,"Say ""aaah""",0.73507,19.50241,vad_analysis,7,7,speech,en-us,1028-20170901-1114,7.0,18.735,16.86,0.0,1.0,0.0,0.2100000000000008,0.0,0.0129345189975748,19.450375,19.29,0.7153750000000008,0.735,18.735,18.555,18.735,18.315,,,18.735,14.205,0.0,4.0,0.0,0.5774999999999992,0.0,0.1370558375634516,19.450375,18.465,,,0.7153750000000008,0.735,18.735,17.73,18.735,15.300000000000002,aws,0.64,19.66,uh,google,,,
23,1042-20171215-0947-7,1042-20171215-0947,7,/home/prad/datasets/phonation_data/1042-20171215-0947-7.wav,phonation,"Say ""aaah""",0.76757,13.73687,vad_analysis,7,7,speech,en-us,1042-20171215-0947,7.0,12.345,12.225,1.0,1.0,0.1199999999999974,0.2399999999999984,0.0115740740740739,0.0209302325581395,13.73725,13.71,0.7772500000000004,0.81,12.96,12.9,12.81,12.63,,,12.96,12.18,0.0,1.0,0.0,0.3899999999999988,0.0,0.0326721120186697,13.73725,13.665,,,0.7772500000000004,0.81,12.96,12.855,12.96,12.435,aws,0.64,13.87,Ah.,google,,,
24,1047-20180106-1546-7,1047-20180106-1546,7,/home/prad/datasets/phonation_data/1047-20180106-1546-7.wav,phonation,"Say ""aaah""",1.20492,19.40605,vad_analysis,7,7,speech,en-us,1047-20180106-1546,7.0,17.355,5.385,1.0,6.0,0.2100000000000008,0.8949999999999997,0.0132340777502066,0.3101424979044425,19.347875,19.155,1.2128750000000004,1.26,18.135,17.895,17.895,12.345,,,18.135,12.375,0.0,3.0,0.0,1.6049999999999986,0.0,0.2729549248747913,19.347875,19.185,,,1.2128750000000004,1.215,18.135,17.97,18.135,13.065,aws,,,,google,,,
25,1042-20180119-1030-7,1042-20180119-1030,7,/home/prad/datasets/phonation_data/1042-20180119-1030-7.wav,phonation,"Say ""aaah""",2.97687,16.043770000000002,vad_analysis,7,7,speech,en-us,1042-20180119-1030,7.0,12.345,12.24,2.0,1.0,0.4125000000000005,0.4499999999999993,0.0629669156883673,0.0374269005847953,15.948125,15.825,1.8931250000000004,3.0,14.055,12.825,13.169999999999996,12.345,,,12.329999999999998,12.21,2.0,0.0,0.4200000000000004,0.0,0.0641711229946525,0.0,15.933125,15.21,,,1.908125,3.0,14.025,12.21,13.124999999999996,12.21,aws,12.2,16.07,a.,google,,,
26,1064-20180220-2212-7,1064-20180220-2212,7,/home/prad/datasets/phonation_data/1064-20180220-2212-7.wav,phonation,"Say ""aaah""",,,vad_analysis,7,7,speech,en-us,1064-20180220-2212,7.0,0.6899999999999995,,0.0,,0.0,,0.0,,0.7403124999999999,,0.0503125000000004,,0.6899999999999995,,0.6899999999999995,,,,0.7050000000000001,,0.0,,0.0,,0.0,,0.7553125000000005,,,,0.0503125000000004,,0.7050000000000001,,0.7050000000000001,,aws,,,,google,,,
27,1053-20171226-1100-7,1053-20171226-1100,7,/home/prad/datasets/phonation_data/1053-20171226-1100-7.wav,phonation,"Say ""aaah""",0.6017899999999999,13.98119,vad_analysis,7,7,speech,en-us,1053-20171226-1100,7.0,13.365,13.23,0.0,0.0,0.0,0.0,0.0,0.0,13.9845,13.875,0.6195000000000004,0.645,13.365,13.23,13.365,13.23,,,13.35,13.08,0.0,0.0,0.0,0.0,0.0,0.0,13.9695,13.8,,,0.6195000000000004,0.72,13.35,13.08,13.35,13.08,aws,0.54,14.16,Oh!,google,,,
28,1043-20171212-0741-7,1043-20171212-0741,7,/home/prad/datasets/phonation_data/1043-20171212-0741-7.wav,phonation,"Say ""aaah""",0.51622,29.98,vad_analysis,7,7,speech,en-us,1043-20171212-0741,7.0,29.355,29.355,0.0,0.0,0.0,0.0,0.0,0.0,29.885125,29.94,0.5301249999999995,0.585,29.355,29.355,29.355,29.355,,,29.355,6.75,0.0,11.0,0.0,0.9518181818181816,0.0,0.3771608171817707,29.885125,29.835,,,0.5301249999999995,1.2,29.355,28.635,29.355,17.834999999999994,aws,,,,google,,,
29,1037-20171028-1026-7,1037-20171028-1026,7,/home/prad/datasets/phonation_data/1037-20171028-1026-7.wav,phonation,"Say ""aaah""",0.5179,25.47628,vad_analysis,7,7,speech,en-us,1037-20171028-1026,7.0,24.945,24.825,0.0,0.0,0.0,0.0,0.0,0.0,25.449,25.365,0.5039999999999996,0.54,24.945,24.825,24.945,24.825,,,24.945,16.86,0.0,4.0,0.0,0.4987499999999994,0.0,0.088512241054614,25.449,24.54,,,0.5039999999999996,0.645,24.945,23.895,24.945,21.78,aws,0.44,25.55,Oh!,google,,,
30,1062-20180117-1012-7,1062-20180117-1012,7,/home/prad/datasets/phonation_data/1062-20180117-1012-7.wav,phonation,"Say ""aaah""",0.288,19.48159,vad_analysis,7,7,speech,en-us,1062-20180117-1012,7.0,19.155,19.08,0.0,0.0,0.0,0.0,0.0,0.0,19.4193125,19.38,0.2643124999999999,0.3,19.155,19.08,19.155,19.08,,,19.155,7.32,0.0,5.0,0.0,0.5309999999999991,0.0,0.1519090170593012,19.4193125,18.765,,,0.2643124999999999,0.3,19.155,18.465,19.155,15.660000000000002,aws,0.14,3.23,Uh huh.,google,,,
31,1064-20180222-2033-7,1064-20180222-2033,7,/home/prad/datasets/phonation_data/1064-20180222-2033-7.wav,phonation,"Say ""aaah""",,,vad_analysis,7,7,speech,en-us,1064-20180222-2033,7.0,0.8399999999999999,,2.0,,3.075,,0.8198019801980201,,7.5936875,,0.0186875000000004,,7.574999999999997,,1.3649999999999984,,,,0.75,,3.0,,2.375,,0.7574803149606297,,9.5436875,,,,0.0186875000000004,,9.525,,2.3100000000000014,,aws,,,,google,,,
32,1006-20180104-1243-7,1006-20180104-1243,7,/home/prad/datasets/phonation_data/1006-20180104-1243-7.wav,phonation,"Say ""aaah""",0.3342,23.66908,vad_analysis,7,7,speech,en-us,1006-20180104-1243,7.0,23.355,23.28,0.0,0.0,0.0,0.0,0.0,0.0,23.6743125,23.61,0.3193125000000001,0.33,23.355,23.28,23.355,23.28,,,23.34,9.99,0.0,5.0,0.0,1.185,0.0,0.3051996985681989,23.6593125,20.235,,,0.3193125000000001,0.33,23.34,19.905,23.34,13.83,aws,,,,google,,,
33,1036-20170915-1533-7,1036-20170915-1533,7,/home/prad/datasets/phonation_data/1036-20170915-1533-7.wav,phonation,"Say ""aaah""",1.55646,5.40412,vad_analysis,7,7,speech,en-us,1036-20170915-1533,7.0,3.84,3.75,0.0,0.0,0.0,0.0,0.0,0.0,5.384375,5.31,1.5443750000000005,1.56,3.84,3.75,3.84,3.75,,,3.84,3.765,0.0,0.0,0.0,0.0,0.0,0.0,5.384375,5.325,,,1.5443750000000005,1.56,3.84,3.765,3.84,3.765,aws,,,,google,,,
34,1037-20170827-0902-7,1037-20170827-0902,7,/home/prad/datasets/phonation_data/1037-20170827-0902-7.wav,phonation,"Say ""aaah""",0.67556,29.88369,vad_analysis,7,7,speech,en-us,1037-20170827-0902,7.0,29.355,29.085,0.0,0.0,0.0,0.0,0.0,0.0,29.7889375,29.85,0.4339374999999999,0.765,29.355,29.085,29.355,29.085,,,29.355,7.755000000000001,0.0,8.0,0.0,0.6937499999999994,0.0,0.1991744066047472,29.7889375,29.85,,,0.4339374999999999,0.78,29.355,29.07,29.355,23.28,aws,0.34,29.89,"Oh, a lot of",google,,,
35,1017-20170924-1802-7,1017-20170924-1802,7,/home/prad/datasets/phonation_data/1017-20170924-1802-7.wav,phonation,"Say ""aaah""",1.43581,13.32511,vad_analysis,7,7,speech,en-us,1017-20170924-1802,7.0,11.88,11.685,2.0,1.0,0.9825,1.5749999999999993,0.1397515527950312,0.1192865105908584,15.8995625,14.88,1.4095624999999998,1.425,14.49,13.455,12.464999999999998,11.85,,,11.88,6.660000000000001,1.0,5.0,1.379999999999999,1.092,0.1035242290748898,0.4169453734671126,15.0295625,14.88,,,1.4095624999999998,1.425,13.62,13.455,12.21,7.845,aws,0.64,22.05,Uh huh.,google,,,
36,1039-20170918-2046-7,1039-20170918-2046,7,/home/prad/datasets/phonation_data/1039-20170918-2046-7.wav,phonation,"Say ""aaah""",0.09858,9.19469,vad_analysis,7,7,speech,en-us,1039-20170918-2046,7.0,3.375,3.18,2.0,3.0,0.8250000000000011,0.9049999999999998,0.1896838602329452,0.3127090301003345,9.092624999999998,9.075,0.0776250000000002,0.105,9.014999999999995,8.969999999999997,7.304999999999996,6.164999999999999,,,3.389999999999999,3.0900000000000003,2.0,1.0,0.8100000000000005,0.6750000000000003,0.1863560732113148,0.1163366336633663,9.092624999999998,6.15,,,0.0776250000000002,0.09,9.014999999999995,6.0600000000000005,7.3349999999999955,5.355,aws,0.04,7.36,Oh!,google,,,
37,1056-20180124-1503-7,1056-20180124-1503,7,/home/prad/datasets/phonation_data/1056-20180124-1503-7.wav,phonation,"Say ""aaah""",2.0838,15.78753,vad_analysis,7,7,speech,en-us,1056-20180124-1503,7.0,13.635,13.215,1.0,0.0,0.2249999999999978,0.0,0.0176348547717841,0.0,16.52,15.315,2.06,2.1,14.46,13.215,14.205,13.215,,,14.415,12.525,0.0,0.0,0.0,0.0,0.0,0.0,16.475,14.67,,,2.06,2.145,14.415,12.525,14.415,12.525,aws,1.94,16.16,"Oh, a",google,2.0,2.2,Huh?
38,1015-20170618-1608-7,1015-20170618-1608,7,/home/prad/datasets/phonation_data/1015-20170618-1608-7.wav,phonation,"Say ""aaah""",0.23025,15.99018,vad_analysis,7,7,speech,en-us,1015-20170618-1608,7.0,15.764999999999995,6.765,0.0,3.0,0.0,1.9250000000000007,0.0,0.4530706836616454,15.987624999999998,13.185,0.2226249999999998,0.24,15.764999999999995,12.945,15.764999999999995,7.080000000000001,,,15.75,6.8400000000000025,0.0,5.0,0.0,1.0529999999999995,0.0,0.4168591224018473,15.972625,13.215,,,0.2226249999999998,0.225,15.75,12.99,15.75,7.575000000000004,aws,0.92,10.05,the number bar Get hanged. Yeah. Now may I know Mormon and men?,google,,,
39,1018-20170709-1509-7,1018-20170709-1509,7,/home/prad/datasets/phonation_data/1018-20170709-1509-7.wav,phonation,"Say ""aaah""",1.1343299999999998,19.32935,vad_analysis,7,7,speech,en-us,1018-20170709-1509,7.0,18.18,17.895,0.0,0.0,0.0,0.0,0.0,0.0,19.306375,19.035,1.1263750000000003,1.14,18.18,17.895,18.18,17.895,,,18.435,10.815,0.0,4.0,0.0,1.15875,0.0,0.2702472293265132,19.561375,18.72,,,1.1263750000000003,1.125,18.435,17.595,18.435,12.84,aws,1.34,6.1,hmm.,google,,,
